=== EXECUÇÃO 1 ===
Cozinheiro 2 preparando pedido=99
Cozinheiro 3 terminou pedido=92
Cozinheiro 1 terminou pedido=96
Cozinheiro 2 terminou pedido=99
Cozinheiro 4 terminou pedido=98
Cozinheiro 0 terminou pedido=97

Tempo total: 6.3575301170349 segundos
Cozinheiro 0 atendeu os pedidos: 0, 7, 11, 16, 23, 29, 34, 39, 45, 52, 57, 59, 64, 69, 76, 82, 87, 93, 97
Cozinheiro 1 atendeu os pedidos: 1, 5, 9, 14, 19, 21, 27, 31, 36, 44, 51, 55, 61, 67, 70, 74, 81, 86, 88, 96
Cozinheiro 2 atendeu os pedidos: 2, 6, 12, 18, 24, 28, 35, 40, 41, 46, 48, 50, 56, 60, 65, 72, 79, 85, 89, 95, 99
Cozinheiro 3 atendeu os pedidos: 3, 10, 15, 22, 26, 32, 38, 43, 49, 54, 63, 68, 71, 75, 77, 83, 90, 92
Cozinheiro 4 atendeu os pedidos: 4, 8, 13, 17, 20, 25, 30, 33, 37, 42, 47, 53, 58, 62, 66, 73, 78, 80, 84, 91, 94, 98

=== VALIDAÇÃO DE INTEGRIDADE ===
Total de pedidos processados: 100
Esperado: 100 pedidos
✓ Todos os pedidos foram processados
✓ Nenhum pedido foi duplicado
✓ Nenhum pedido foi perdido
✓ A fila de pedidos terminou vazia
✓ Soma matemática correta (esperada: 4950, obtida: 4950)
================================


=== EXECUÇÃO 4 ===
Cozinheiro 0 pronto para receber pedidos!
Cozinheiro 0 preparando pedido=0
Cozinheiro 1 pronto para receber pedidos!
Cozinheiro 1 preparando pedido=1
Cozinheiro 2 pronto para receber pedidos!
Cozinheiro 2 preparando pedido=2
Cozinheiro 3 pronto para receber pedidos!
Cozinheiro 3 preparando pedido=3
Cozinheiro 4 pronto para receber pedidos!
Cozinheiro 4 preparando pedido=4
Cozinheiro 2 terminou pedido=2
Cozinheiro 2 preparando pedido=5
Cozinheiro 4 terminou pedido=4
Cozinheiro 4 preparando pedido=6
Cozinheiro 1 terminou pedido=1
Cozinheiro 1 preparando pedido=7
Cozinheiro 3 terminou pedido=3
Cozinheiro 3 preparando pedido=8
Cozinheiro 0 terminou pedido=0
Cozinheiro 0 preparando pedido=9
Cozinheiro 4 terminou pedido=6
